pid,fid18_x,provcd18,urban18,gender_update,wa701code,wc3_b_2,ws3,ws4,ws5,ws602,ws604,wf501,wf502,wf601m,wf602m,wf603m,wf604m,wf801,wf802,wf803,wf804,wt1,wd503r,fincome1,fid18_y,tb4_a18_f,tb4_a18_m
108476552,108476,山东省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,偶尔（每周1次）,偶尔（每周1次）,同意,同意,同意,同意,否,不适用,165000.0,108476,大学本科,大专
108998601,108998,河南省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,45000.0,108998,小学,初中
109531602,109531,安徽省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,240000.0,109531,初中,初中
109606551,109606,河南省,城镇,女,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,既不同意也不反对,既不同意也不反对,十分同意,不同意,否,900,172000.0,109606,大专,大专
110018551,110018,河南省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,不同意,不同意,同意,同意,否,不适用,60000.0,110018,不适用,初中
110020108,110020,北京市,城镇,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,良,良,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,偶尔（每周1次）,不同意,不同意,十分不同意,同意,否,0,204000.0,110020,高中,高中
110026103,110026,北京市,城镇,男,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,优,优,从不,经常（每周2-4次）,很少（每月1次）,偶尔（每周1次）,同意,不同意,同意,同意,是,10000,449500.0,110026,大学本科,大专
110047103,110047,湖南省,城镇,男,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,优,优,从不,经常（每周2-4次）,经常（每周2-4次）,不适用,十分同意,十分同意,十分同意,十分同意,否,不适用,200000.0,110047,大专,高中
110051521,576080,北京市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,十分同意,同意,十分同意,十分同意,是,40000,300000.0,576080,大学本科,高中
110052501,110052,北京市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,十分同意,是,1500,126024.0,110052,大专,大专
110060601,110060,北京市,城镇,女,回族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,20000,312000.0,110060,大学本科,大专
110071103,110071,北京市,城镇,男,不适用,小学,普通小学,不适用,不适用,是,不是重点班,优,优,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,同意,同意,是,0,223430.0,110071,大学本科,大学本科
110083401,110083,北京市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,良,良,不适用,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,同意,同意,是,25000,120000.0,110083,高中,大专
110108551,110108,北京市,城镇,女,汉族,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,同意,否,0,236000.0,110108,大专,大专
110120601,110120,北京市,城镇,女,满族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,250000.0,110120,大学本科,大专
110124401,110124,北京市,城镇,女,不适用,小学,普通小学,不适用,不适用,否,是重点班,优,中,不适用,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,不同意,是,30000,200000.0,110124,大学本科,大学本科
110126521,110126,北京市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,很经常（每周5-7次）,偶尔（每周1次）,很少（每月1次）,十分同意,不同意,不同意,同意,是,10000,180000.0,110126,大学本科,不适用
110129551,110129,北京市,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,20000,500000.0,110129,大学本科,大学本科
110236621,340125,安徽省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,180000.0,340125,大学本科,高中
110519602,110519,河南省,乡村,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,60000.0,110519,初中,初中
110689551,110689,湖南省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很少（每月1次）,偶尔（每周1次）,偶尔（每周1次）,同意,不同意,同意,同意,否,不适用,70000.0,110689,大学本科,高中
110717502,110717,河南省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,偶尔（每周1次）,偶尔（每周1次）,经常（每周2-4次）,既不同意也不反对,同意,同意,不同意,否,不适用,80000.0,110717,初中,高中
110717601,110717,河南省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,80000.0,110717,初中,高中
110722601,110722,河南省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,55000.0,110722,高中,初中
110754602,110754,河南省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,45800.0,110754,初中,初中
110901601,110901,河南省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,82250.0,110901,初中,不适用
111230552,111230,广东省,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,130300.0,111230,高中,初中
111308553,111308,广东省,乡村,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,59180.0,111308,初中,小学
111308601,111308,广东省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,59180.0,111308,初中,小学
112416554,112416,广西壮族自治区,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,偶尔（每周1次）,经常（每周2-4次）,偶尔（每周1次）,同意,不同意,同意,同意,否,不适用,,112416,初中,初中
112416555,112416,广西壮族自治区,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,,112416,初中,初中
112446601,112446,广东省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,35000.0,112446,不适用,大学本科
113205552,113205,四川省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,同意,十分同意,同意,同意,否,不适用,29500.0,113205,文盲/半文盲,文盲/半文盲
113205553,113205,四川省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用,29500.0,113205,文盲/半文盲,文盲/半文盲
113332552,113332,广东省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很少（每月1次）,很经常（每周5-7次）,经常（每周2-4次）,既不同意也不反对,十分不同意,同意,同意,否,不适用,,113332,初中,小学
113332553,113332,广东省,乡村,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,,113332,初中,小学
113332621,113332,广东省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,,113332,初中,小学
113589503,441953,广东省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,经常（每周2-4次）,不适用,不适用,不适用,不适用,不适用,不同意,否,不适用,94900.0,441953,大专,高中
113604571,113604,广东省,城镇,男,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用,254000.0,113604,高中,初中
114015601,114015,贵州省,城镇,男,苗族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,37500.0,114015,高中,大专
114130601,114130,云南省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,90000.0,114130,小学,高中
114185551,680883,云南省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,不同意,不同意,是,1120,161000.0,680883,高中,初中
114614552,114614,陕西省,城镇,男,不适用,小学,普通小学,不适用,不适用,否,不是重点班,中,优,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,不同意,是,400,80000.0,114614,高中,高中
114614601,114614,陕西省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,80000.0,114614,高中,高中
114900501,114900,河南省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,同意,同意,否,不适用,60000.0,114900,初中,初中
115002557,663732,甘肃省,缺失,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,70000.0,663732,初中,初中
115057601,115057,甘肃省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,140000.0,115057,高中,初中
115395552,115395,贵州省,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,117900.0,115395,初中,大专
115395621,115395,贵州省,缺失,女,汉族,不适用,,,,,,,,,,,,,,,,,,117900.0,115395,初中,不适用
115395622,115395,贵州省,缺失,男,汉族,不适用,,,,,,,,,,,,,,,,,,117900.0,115395,初中,不适用
115565552,115565,甘肃省,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,2500,1560000.0,115565,大专,大学本科
115650601,115650,山东省,乡村,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,150000.0,115650,初中,小学
115788431,115788,江苏省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,不同意,十分不同意,同意,同意,否,不适用,78000.0,115788,初中,文盲/半文盲
115788551,115788,江苏省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,很少（每月1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用,78000.0,115788,初中,文盲/半文盲
115961502,115961,云南省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,不同意,是,3000,31000.0,115961,初中,小学
115986551,115986,云南省,城镇,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,61000.0,115986,高中,高中
116093553,621523,甘肃省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,90000.0,621523,大专,大学本科
116282554,116282,甘肃省,城镇,女,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,不同意,不同意,不同意,同意,否,500,440000.0,116282,初中,大专
117058601,117058,甘肃省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,31000.0,117058,初中,小学
117163502,117163,甘肃省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,很少（每月1次）,不同意,不同意,不同意,同意,否,不适用,50000.0,117163,初中,初中
117227601,117227,河北省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,340000.0,117227,硕士,硕士
117283502,182806,新疆维吾尔自治区,缺失,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,同意,是,2400,175000.0,182806,初中,高中
117697601,117697,河北省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,50000.0,117697,初中,文盲/半文盲
117697602,117697,河北省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,50000.0,117697,初中,文盲/半文盲
118065501,621352,甘肃省,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,同意,否,不适用,62700.0,621352,高中,高中
118191501,621511,甘肃省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,不同意,同意,同意,同意,否,不适用,60800.0,621511,大专,初中
118291401,118291,陕西省,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,十分同意,十分同意,十分同意,十分不同意,是,2600,60000.0,118291,初中,小学
118291551,118291,陕西省,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,60000.0,118291,初中,小学
118404601,118404,甘肃省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,100000.0,118404,大学本科,大学本科
120001103,120001,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,中,中,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,偶尔（每周1次）,同意,不同意,同意,不同意,否,不适用,80000.0,120001,小学,高中
120001401,120001,天津市,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,同意,同意,否,不适用,80000.0,120001,小学,高中
120007103,120007,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,偶尔（每周1次）,同意,同意,同意,不同意,是,18000,85000.0,120007,大学本科,高中
120012103,120012,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,是,就读学校没有重点班和非重点班的区分,良,优,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,经常（每周2-4次）,不同意,不同意,不同意,不同意,是,12000,440000.0,120012,大专,大学本科
120018102,120018,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,否,不是重点班,良,优,经常（每周2-4次）,偶尔（每周1次）,经常（每周2-4次）,偶尔（每周1次）,不同意,不同意,同意,不同意,是,5000,120000.0,120018,高中,大学本科
120024105,221399,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,良,优,不适用,很经常（每周5-7次）,从不,很经常（每周5-7次）,不同意,不同意,同意,不同意,否,16000,48000.0,221399,大专,大学本科
120029103,120029,天津市,城镇,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,十分同意,同意,同意,同意,否,不适用,80000.0,120029,高中,高中
120031571,134206,天津市,城镇,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,100000.0,134206,大专,大学本科
120032103,120032,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,优,良,很少（每月1次）,经常（每周2-4次）,很少（每月1次）,很少（每月1次）,同意,同意,同意,同意,是,15000,58800.0,120032,初中,高中
120034621,120034,内蒙古自治区,缺失,男,汉族,不适用,,,,,,,,,,,,,,,,,,111400.0,120034,不适用,大学本科
120039103,120039,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,良,很经常（每周5-7次）,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,既不同意也不反对,不同意,同意,是,10000,170000.0,120039,大专,大专
120039601,120039,天津市,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用,170000.0,120039,大专,大专
120046551,665820,天津市,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,1000,120000.0,665820,大专,大学本科
120063103,120063,天津市,城镇,男,不适用,初中,不适用,普通初中,不适用,否,是重点班,良,中,很经常（每周5-7次）,经常（每周2-4次）,经常（每周2-4次）,偶尔（每周1次）,同意,不同意,同意,同意,是,2500,340000.0,120063,大学本科,大学本科
120072104,120072,天津市,城镇,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,中,中,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,不同意,既不同意也不反对,同意,同意,否,不适用,56000.0,120072,初中,高中
120078105,120078,天津市,乡村,男,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,差,良,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,不同意,不同意,不同意,不同意,否,不适用,90000.0,120078,初中,初中
120081105,120081,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,良,差,偶尔（每周1次）,偶尔（每周1次）,从不,偶尔（每周1次）,不同意,不同意,不同意,不同意,否,不适用,37000.0,120081,文盲/半文盲,小学
120082105,120082,天津市,乡村,女,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,差,中,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,不同意,不同意,同意,同意,否,不适用,132000.0,120082,初中,初中
120082106,120082,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,不同意,不同意,是,600,132000.0,120082,初中,初中
120088106,120088,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,中,中,很经常（每周5-7次）,偶尔（每周1次）,很经常（每周5-7次）,偶尔（每周1次）,不同意,不同意,不同意,不同意,否,不适用,50000.0,120088,小学,文盲/半文盲
120093106,120093,天津市,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,偶尔（每周1次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,同意,否,不适用,104800.0,120093,初中,初中
120096106,116939,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,差,优,经常（每周2-4次）,偶尔（每周1次）,从不,从不,同意,不同意,不同意,同意,否,不适用,76000.0,116939,高中,初中
120097401,277538,天津市,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,很经常（每周5-7次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,同意,同意,否,4320,100000.0,277538,大专,大专
120100401,120100,天津市,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,中,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,不同意,否,不适用,71800.0,120100,高中,大专
120100501,120100,天津市,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,同意,否,不适用,71800.0,120100,高中,大专
