pid,fid18,provcd18,urban18,gender_update,wa701code,wc3_b_2,ws3,ws4,ws5,ws602,ws604,wf501,wf502,wf601m,wf602m,wf603m,wf604m,wf801,wf802,wf803,wf804,wt1,wd503r
107643601,107643,安徽省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
107824601,107824,福建省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
108211601,108211,江西省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
108244601,108244,山东省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
108244602,108244,山东省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
108476552,108476,山东省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,偶尔（每周1次）,偶尔（每周1次）,同意,同意,同意,同意,否,不适用
108998601,108998,河南省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
109531602,109531,安徽省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
109606551,109606,河南省,城镇,女,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,既不同意也不反对,既不同意也不反对,十分同意,不同意,否,900
110018551,110018,河南省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,不同意,不同意,同意,同意,否,不适用
110020108,110020,北京市,城镇,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,良,良,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,偶尔（每周1次）,不同意,不同意,十分不同意,同意,否,0
110026103,110026,北京市,城镇,男,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,优,优,从不,经常（每周2-4次）,很少（每月1次）,偶尔（每周1次）,同意,不同意,同意,同意,是,10000
110047103,110047,湖南省,城镇,男,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,优,优,从不,经常（每周2-4次）,经常（每周2-4次）,不适用,十分同意,十分同意,十分同意,十分同意,否,不适用
110051521,576080,北京市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,十分同意,同意,十分同意,十分同意,是,40000
110052501,110052,北京市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,十分同意,是,1500
110060601,110060,北京市,城镇,女,回族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,20000
110071103,110071,北京市,城镇,男,不适用,小学,普通小学,不适用,不适用,是,不是重点班,优,优,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,同意,同意,是,0
110083401,110083,北京市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,良,良,不适用,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,同意,同意,是,25000
110108551,110108,北京市,城镇,女,汉族,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,同意,否,0
110120601,110120,北京市,城镇,女,满族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
110124401,110124,北京市,城镇,女,不适用,小学,普通小学,不适用,不适用,否,是重点班,优,中,不适用,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,不同意,是,30000
110126521,110126,北京市,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,很经常（每周5-7次）,偶尔（每周1次）,很少（每月1次）,十分同意,不同意,不同意,同意,是,10000
110129551,110129,北京市,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,20000
110236621,340125,安徽省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
110519602,110519,河南省,乡村,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
110689551,110689,湖南省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很少（每月1次）,偶尔（每周1次）,偶尔（每周1次）,同意,不同意,同意,同意,否,不适用
110717502,110717,河南省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,偶尔（每周1次）,偶尔（每周1次）,经常（每周2-4次）,既不同意也不反对,同意,同意,不同意,否,不适用
110717601,110717,河南省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
110722601,110722,河南省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
110754602,110754,河南省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
110901601,110901,河南省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
111230552,111230,广东省,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
111308553,111308,广东省,乡村,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
111308601,111308,广东省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
112416554,112416,广西壮族自治区,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,偶尔（每周1次）,经常（每周2-4次）,偶尔（每周1次）,同意,不同意,同意,同意,否,不适用
112416555,112416,广西壮族自治区,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
112446601,112446,广东省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
113205552,113205,四川省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,同意,十分同意,同意,同意,否,不适用
113205553,113205,四川省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
113332552,113332,广东省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很少（每月1次）,很经常（每周5-7次）,经常（每周2-4次）,既不同意也不反对,十分不同意,同意,同意,否,不适用
113332553,113332,广东省,乡村,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
113332621,113332,广东省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
113589503,441953,广东省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,经常（每周2-4次）,不适用,不适用,不适用,不适用,不适用,不同意,否,不适用
113604571,113604,广东省,城镇,男,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
114015601,114015,贵州省,城镇,男,苗族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
114130601,114130,云南省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
114185551,680883,云南省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,不同意,不同意,是,1120
114614552,114614,陕西省,城镇,男,不适用,小学,普通小学,不适用,不适用,否,不是重点班,中,优,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,不同意,是,400
114614601,114614,陕西省,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
114900501,114900,河南省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,同意,同意,否,不适用
115002557,663732,甘肃省,缺失,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
115057601,115057,甘肃省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
115395552,115395,贵州省,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
115395621,115395,贵州省,缺失,女,汉族,不适用,,,,,,,,,,,,,,,,,
115395622,115395,贵州省,缺失,男,汉族,不适用,,,,,,,,,,,,,,,,,
115565552,115565,甘肃省,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,2500
115650601,115650,山东省,乡村,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
115788431,115788,江苏省,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,不同意,十分不同意,同意,同意,否,不适用
115788551,115788,江苏省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,很少（每月1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
115961502,115961,云南省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,不同意,是,3000
115986551,115986,云南省,城镇,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
116093553,621523,甘肃省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
116282554,116282,甘肃省,城镇,女,汉族,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,不同意,不同意,不同意,同意,否,500
117058601,117058,甘肃省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
117163502,117163,甘肃省,城镇,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,很少（每月1次）,不同意,不同意,不同意,同意,否,不适用
117227601,117227,河北省,乡村,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
117283502,182806,新疆维吾尔自治区,缺失,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,同意,是,2400
117697601,117697,河北省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
117697602,117697,河北省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
118065501,621352,甘肃省,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
118191501,621511,甘肃省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,不同意,同意,同意,同意,否,不适用
118291401,118291,陕西省,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,不适用,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,十分同意,十分同意,十分同意,十分不同意,是,2600
118291551,118291,陕西省,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
118404601,118404,甘肃省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
120001103,120001,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,中,中,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,偶尔（每周1次）,同意,不同意,同意,不同意,否,不适用
120001401,120001,天津市,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,同意,同意,否,不适用
120007103,120007,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,偶尔（每周1次）,同意,同意,同意,不同意,是,18000
120012103,120012,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,是,就读学校没有重点班和非重点班的区分,良,优,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,经常（每周2-4次）,不同意,不同意,不同意,不同意,是,12000
120018102,120018,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,否,不是重点班,良,优,经常（每周2-4次）,偶尔（每周1次）,经常（每周2-4次）,偶尔（每周1次）,不同意,不同意,同意,不同意,是,5000
120024105,221399,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,良,优,不适用,很经常（每周5-7次）,从不,很经常（每周5-7次）,不同意,不同意,同意,不同意,否,16000
120029103,120029,天津市,城镇,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,十分同意,同意,同意,同意,否,不适用
120031571,134206,天津市,城镇,男,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
120032103,120032,天津市,城镇,女,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,优,良,很少（每月1次）,经常（每周2-4次）,很少（每月1次）,很少（每月1次）,同意,同意,同意,同意,是,15000
120034621,120034,内蒙古自治区,缺失,男,汉族,不适用,,,,,,,,,,,,,,,,,
120039103,120039,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,良,很经常（每周5-7次）,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,既不同意也不反对,不同意,同意,是,10000
120039601,120039,天津市,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
120046551,665820,天津市,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,是,1000
120063103,120063,天津市,城镇,男,不适用,初中,不适用,普通初中,不适用,否,是重点班,良,中,很经常（每周5-7次）,经常（每周2-4次）,经常（每周2-4次）,偶尔（每周1次）,同意,不同意,同意,同意,是,2500
120072104,120072,天津市,城镇,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,中,中,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,不同意,既不同意也不反对,同意,同意,否,不适用
120078105,120078,天津市,乡村,男,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,差,良,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,经常（每周2-4次）,不同意,不同意,不同意,不同意,否,不适用
120081105,120081,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,良,差,偶尔（每周1次）,偶尔（每周1次）,从不,偶尔（每周1次）,不同意,不同意,不同意,不同意,否,不适用
120082105,120082,天津市,乡村,女,不适用,初中,不适用,普通初中,不适用,否,就读学校没有重点班和非重点班的区分,差,中,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,不同意,不同意,同意,同意,否,不适用
120082106,120082,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,不同意,不同意,是,600
120088106,120088,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,中,中,很经常（每周5-7次）,偶尔（每周1次）,很经常（每周5-7次）,偶尔（每周1次）,不同意,不同意,不同意,不同意,否,不适用
120093106,120093,天津市,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,优,偶尔（每周1次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,同意,否,不适用
120096106,116939,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,差,优,经常（每周2-4次）,偶尔（每周1次）,从不,从不,同意,不同意,不同意,同意,否,不适用
120097401,277538,天津市,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,很经常（每周5-7次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,同意,同意,否,4320
120100401,120100,天津市,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,优,中,很经常（每周5-7次）,经常（每周2-4次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,不同意,不同意,不同意,否,不适用
120100501,120100,天津市,乡村,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
120101104,120101,天津市,乡村,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,中,中,经常（每周2-4次）,经常（每周2-4次）,很经常（每周5-7次）,偶尔（每周1次）,同意,同意,同意,同意,否,不适用
120102401,120102,天津市,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,偶尔（每周1次）,经常（每周2-4次）,经常（每周2-4次）,同意,不同意,同意,同意,否,不适用
120102501,120102,天津市,乡村,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,偶尔（每周1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
120103401,120103,天津市,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,经常（每周2-4次）,经常（每周2-4次）,经常（每周2-4次）,同意,同意,同意,同意,否,不适用
120104401,120104,天津市,乡村,男,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,良,良,偶尔（每周1次）,偶尔（每周1次）,很经常（每周5-7次）,很经常（每周5-7次）,同意,同意,同意,同意,否,不适用
120108104,120108,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,否,就读学校没有重点班和非重点班的区分,中,中,很少（每月1次）,很少（每月1次）,经常（每周2-4次）,偶尔（每周1次）,既不同意也不反对,不同意,既不同意也不反对,既不同意也不反对,否,不适用
120109521,120109,天津市,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,从不,从不,同意,同意,同意,既不同意也不反对,否,不适用
120109601,120109,天津市,城镇,女,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
120110105,693086,天津市,城镇,女,不适用,小学,普通小学,不适用,不适用,是,就读学校没有重点班和非重点班的区分,优,优,很经常（每周5-7次）,很经常（每周5-7次）,不适用,不适用,十分同意,同意,同意,同意,是,0
120162601,120162,辽宁省,城镇,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
120721501,120721,江苏省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,偶尔（每周1次）,经常（每周2-4次）,不适用,不适用,不适用,不适用,不适用,十分同意,是,4000
121095552,121095,黑龙江省,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
123392552,123392,江苏省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,从不,偶尔（每周1次）,不适用,不适用,不适用,不适用,不适用,十分同意,否,不适用
123755552,123755,浙江省,乡村,男,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,很经常（每周5-7次）,不适用,不适用,不适用,不适用,不适用,不同意,是,1000
123804551,123804,黑龙江省,城镇,女,不适用,幼儿园/学前班,不适用,不适用,不适用,不适用,不适用,不适用,不适用,经常（每周2-4次）,偶尔（每周1次）,不适用,不适用,不适用,不适用,不适用,同意,否,不适用
124102571,350009,福建省,城镇,女,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
124347572,440226,广东省,乡村,男,汉族,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,否,不适用
